lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images,region_fnr_component_avg
,-1,True,,0.6169151835818502,0.0030285511165857315,,500,,,False,,,,,,89,person,0.2,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,195,0.601572739187418
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.05,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,128,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.05,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,128,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.05,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,128,
,-1,True,,0.7412280701754386,0.0003668171411845833,,500,,,False,,,,,,89,rider,0.05,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,128,0.72
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.1,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,128,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.1,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,128,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.1,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,128,
,-1,True,,0.7412280701754386,0.0003668171411845833,,500,,,False,,,,,,89,rider,0.1,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,128,0.72
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.2,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,128,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.2,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,128,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.2,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,128,
,-1,True,,0.7412280701754386,0.0003668171411845833,,500,,,False,,,,,,89,rider,0.2,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,128,0.72
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.05,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,128,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.05,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,128,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.05,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,128,
,-1,True,,0.7499999999999999,0.0003668171411845833,,500,,,False,,,,,,89,rider,0.05,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,128,0.74
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.1,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,128,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.1,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,128,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.1,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,128,
,-1,True,,0.7499999999999999,0.0003668171411845833,,500,,,False,,,,,,89,rider,0.1,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,128,0.74
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.2,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,128,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.2,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,128,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,89,rider,0.2,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,128,
,-1,True,,0.7499999999999999,0.0003668171411845833,,500,,,False,,,,,,89,rider,0.2,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,128,0.74
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.05,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,174,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.05,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,174,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.05,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,174,
,-1,True,,0.7215573456079786,0.0010038213804364204,,500,,,False,,,,,,89,bicycle,0.05,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,174,0.6896551724137931
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.1,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,174,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.1,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,174,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.1,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,174,
,-1,True,,0.7215573456079786,0.0010038213804364204,,500,,,False,,,,,,89,bicycle,0.1,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,174,0.6896551724137931
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.2,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,174,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.2,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,174,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.2,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,174,
,-1,True,,0.7215573456079786,0.0010038213804364204,,500,,,False,,,,,,89,bicycle,0.2,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,174,0.6896551724137931
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.05,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,174,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.05,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,174,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.05,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,174,
,-1,True,,0.8084771768316071,0.0010038213804364204,,500,,,False,,,,,,89,bicycle,0.05,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,174,0.7528735632183908
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.1,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,174,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.1,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,174,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.1,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,174,
,-1,True,,0.8084771768316071,0.0010038213804364204,,500,,,False,,,,,,89,bicycle,0.1,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,174,0.7528735632183908
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.2,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,174,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.2,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,174,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,89,bicycle,0.2,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,174,
,-1,True,,0.8084771768316071,0.0010038213804364204,,500,,,False,,,,,,89,bicycle,0.2,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,174,0.7528735632183908
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.05,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,199,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.05,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,199,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.05,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,199,
,-1,True,,0.5398856287745176,0.0030285511165857315,,500,,,False,,,,,,90,person,0.05,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,199,0.5072083879423329
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.1,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,199,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.1,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,199,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.1,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,199,
,-1,True,,0.5398856287745176,0.0030285511165857315,,500,,,False,,,,,,90,person,0.1,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,199,0.5072083879423329
0.999,999,True,0.21491368713590933,0.21491368713590936,0.03923148289322853,0.406,297,763.0,0.17200000000000004,True,0.3070362473347548,0.03375527426160337,0.0,,,90,person,0.2,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,199,
0.999,999,True,0.21491368713590933,0.21491368713590936,0.03923148289322853,0.406,297,763.0,0.17200000000000004,True,0.3070362473347548,0.03375527426160337,0.0,,,90,person,0.2,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,199,
0.999,999,True,0.21491368713590933,0.21491368713590936,0.03923148289322853,0.406,297,763.0,0.17200000000000004,True,0.3070362473347548,0.03375527426160337,0.0,,,90,person,0.2,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,199,
,-1,True,,0.5398856287745176,0.0030285511165857315,,500,,,False,,,,,,90,person,0.2,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,199,0.5072083879423329
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.05,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,199,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.05,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,199,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.05,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,199,
,-1,True,,0.6169151835818502,0.0030285511165857315,,500,,,False,,,,,,90,person,0.05,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,199,0.601572739187418
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.1,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,199,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.1,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,199,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.1,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,199,
,-1,True,,0.6169151835818502,0.0030285511165857315,,500,,,False,,,,,,90,person,0.1,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,199,0.601572739187418
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.2,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,199,
0.999,999,True,0.26546683768905993,0.26546683768905993,0.03923148289322853,0.406,297,763.0,0.17200000000000004,True,0.3646055437100213,0.0759493670886076,0.017543859649122806,,,90,person,0.2,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,199,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,90,person,0.2,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,199,
,-1,True,,0.6169151835818502,0.0030285511165857315,,500,,,False,,,,,,90,person,0.2,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,199,0.601572739187418
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.05,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,125,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.05,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,125,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.05,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,125,
,-1,True,,0.7412280701754386,0.0003668171411845833,,500,,,False,,,,,,90,rider,0.05,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,125,0.72
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.1,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,125,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.1,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,125,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.1,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,125,
,-1,True,,0.7412280701754386,0.0003668171411845833,,500,,,False,,,,,,90,rider,0.1,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,125,0.72
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.2,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,125,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.2,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,125,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.2,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,125,
,-1,True,,0.7412280701754386,0.0003668171411845833,,500,,,False,,,,,,90,rider,0.2,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,125,0.72
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.05,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,125,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.05,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,125,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.05,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,125,
,-1,True,,0.7499999999999999,0.0003668171411845833,,500,,,False,,,,,,90,rider,0.05,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,125,0.74
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.1,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,125,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.1,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,125,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.1,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,125,
,-1,True,,0.7499999999999999,0.0003668171411845833,,500,,,False,,,,,,90,rider,0.1,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,125,0.74
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.2,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,125,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.2,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,125,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,90,rider,0.2,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,125,
,-1,True,,0.7499999999999999,0.0003668171411845833,,500,,,False,,,,,,90,rider,0.2,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,125,0.74
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.05,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,168,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.05,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,168,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.05,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,168,
,-1,True,,0.7215573456079786,0.0010038213804364204,,500,,,False,,,,,,90,bicycle,0.05,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,168,0.6896551724137931
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.1,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,168,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.1,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,168,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.1,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,168,
,-1,True,,0.7215573456079786,0.0010038213804364204,,500,,,False,,,,,,90,bicycle,0.1,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,168,0.6896551724137931
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.2,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,168,
0.999,999,True,0.30191791331031836,0.30191791331031836,0.025419235229492188,0.842,79,174.0,0.136,True,0.2717391304347826,0.21212121212121213,0.125,,,90,bicycle,0.2,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,168,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.2,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,168,
,-1,True,,0.7215573456079786,0.0010038213804364204,,500,,,False,,,,,,90,bicycle,0.2,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,168,0.6896551724137931
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.05,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,168,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.05,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,168,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.05,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,168,
,-1,True,,0.8084771768316071,0.0010038213804364204,,500,,,False,,,,,,90,bicycle,0.05,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,168,0.7528735632183908
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.1,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,168,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.1,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,168,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.1,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,168,
,-1,True,,0.8084771768316071,0.0010038213804364204,,500,,,False,,,,,,90,bicycle,0.1,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,168,0.7528735632183908
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.2,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,168,
0.999,999,True,0.36774069812044496,0.36774069812044496,0.025419235229492188,0.842,79,174.0,0.136,True,0.32608695652173914,0.2878787878787879,0.125,,,90,bicycle,0.2,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,168,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,90,bicycle,0.2,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,168,
,-1,True,,0.8084771768316071,0.0010038213804364204,,500,,,False,,,,,,90,bicycle,0.2,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,168,0.7528735632183908
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,91,person,0.05,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,91,person,0.05,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,91,person,0.05,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,202,
,-1,True,,0.5398856287745176,0.0030285511165857315,,500,,,False,,,,,,91,person,0.05,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,202,0.5072083879423329
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,91,person,0.1,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,91,person,0.1,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,91,person,0.1,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,202,
,-1,True,,0.5398856287745176,0.0030285511165857315,,500,,,False,,,,,,91,person,0.1,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,202,0.5072083879423329
0.999,999,True,0.21491368713590933,0.21491368713590936,0.03923148289322853,0.406,297,763.0,0.134,True,0.3070362473347548,0.03375527426160337,0.0,,,91,person,0.2,0.1,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202,
0.999,999,True,0.21491368713590933,0.21491368713590936,0.03923148289322853,0.406,297,763.0,0.134,True,0.3070362473347548,0.03375527426160337,0.0,,,91,person,0.2,0.1,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202,
0.999,999,True,0.21491368713590933,0.21491368713590936,0.03923148289322853,0.406,297,763.0,0.134,True,0.3070362473347548,0.03375527426160337,0.0,,,91,person,0.2,0.1,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,202,
,-1,True,,0.5398856287745176,0.0030285511165857315,,500,,,False,,,,,,91,person,0.2,0.1,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,202,0.5072083879423329
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,91,person,0.05,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,91,person,0.05,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,91,person,0.05,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,202,
,-1,True,,0.6169151835818502,0.0030285511165857315,,500,,,False,,,,,,91,person,0.05,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,202,0.601572739187418
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,91,person,0.1,0.5,region_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,91,person,0.1,0.5,pixel_crc,mask2former_swinb_cityscapes,cityscapes_val_half,202,
1.0,1000,True,0.0,0.0,1.0,0.406,297,763.0,0.0,False,0.0,0.0,0.0,,,91,person,0.1,0.5,heuristic,mask2former_swinb_cityscapes,cityscapes_val_half,202,
,-1,True,,0.6169151835818502,0.0030285511165857315,,500,,,False,,,,,,91,person,0.1,0.5,argmax,mask2former_swinb_cityscapes,cityscapes_val_half,202,0.601572739187418
